"EFF_DATE","ARRIVAL_NAME","AMENDMENT_NO","ARTCC","STAR_AMEND_EFF_DATE","RNAV_FLAG","STAR_COMPUTER_CODE","SERVED_ARPT"
"2026/05/14","BLAID","TWO","ZLA","2024/01/25","N","AALAN.BLAID2","LAS"
"2026/05/14","AALLE","FOUR","ZDV","2025/06/12","Y","AALLE.AALLE4","DEN"
"2026/05/14","AARCH","TWO","ZKC","2017/08/17","Y","AARCH.AARCH2","STL"
"2026/05/14","AAVON","ONE","ZDV","2025/04/17","Y","AAVON.AAVON1","EGE HDN RIL"
"2026/05/14","ADYMS","THREE","ZSE","2022/01/27","Y","ADYMS.ADYMS3","TCM"
"2026/05/14","AGUDE","SIX","ZMP","2025/11/27","N","AGUDE.AGUDE6","21D ANE CFE FBL FCM GYL LVN MGG MIC OEO RNH SGS STP"
"2026/05/14","DNKIN","TWO","ZHU","2025/11/27","Y","AIRBL.DNKIN2","5C1 BAZ CVB PEZ RND SAT SKF SSF"
"2026/05/14","ALCRN","ONE","ZJX","2023/06/15","Y","ALCRN.ALCRN1","CRG JAX NIP NRB VQQ"
"2026/05/14","ALEXS","ONE","ZAU","2024/01/25","Y","ALEXS.ALEXS1","RFD"
"2026/05/14","FRDMM","SIX","ZDC","2024/05/16","Y","ALWYZ.FRDMM6","ADW DAA DCA"
"2026/05/14","ALYNA","FOUR","ZJX","2024/01/25","Y","ALYNA.ALYNA4","ISM LEE MCO ORL SFB"
"2026/05/14","NUMMY","THREE","ZDC","2019/06/20","N","AML.NUMMY3","ADW DAA DCA"
"2026/05/14","OLAAA","TWO","ZLA","2019/12/05","Y","AMMOR.OLAAA2","LAX"
"2026/05/14","SNSTT","TWO","ZLA","2018/02/01","Y","AMMOR.SNSTT2","LAX"
"2026/05/14","AMOTT","FOUR","ZAN","2018/03/29","Y","AMOTT.AMOTT4","ANC"
"2026/05/14","AMRVR","TWO","ZOA","2018/09/13","Y","AMRVR.AMRVR2","MHR"
"2026/05/14","AMYLU","THREE","ZJX","2020/11/05","Y","AMYLU.AMYLU3","CHS JZI"
"2026/05/14","ANAHO","TWO","ZOA","1996/02/29","N","ANAHO.ANAHO2","RNO"
"2026/05/14","DLAMP","EIGHT","ZID","2024/07/11","Y","ANCHR.DLAMP8","SDF"
"2026/05/14","ANJLL","FOUR","ZLA","2018/07/19","Y","ANJLL.ANJLL4","LAX"
"2026/05/14","BIGBR","THREE","ZLA","2018/05/24","Y","ANJLL.BIGBR3","LAX"
"2026/05/14","DANEI","THREE","ZID","2019/10/10","N","APE.DANEI3","DAY FFO MGY MWO SGH"
"2026/05/14","EMMLN","THREE","ZLA","2026/05/14","N","APLES.EMMLN3","FUL HHR LGB SLI SNA"
"2026/05/14","ARKOE","ONE","ZLA","2012/04/05","N","ARKOE.ARKOE1","RIV"
"2026/05/14","ARLIN","FOUR","ZAB","2017/04/27","N","ARLIN.ARLIN4","CHD DVT FFZ IWA P19 PHX SDL"
"2026/05/14","ARRIE","NINE","ZSE","2024/12/26","N","ARRIE.ARRIE9","TCM"
"2026/05/14","AWDAD","ONE","ZHU","2017/12/07","N","AWDAD.AWDAD1","MSY NEW"
"2026/05/14","DEHAN","THREE","ZTL","2020/07/16","Y","AWSON.DEHAN3","6A2 CCO CTJ CVC D73 FFC FTY HMP LZU MGE PDK PUJ RYY VPC"
"2026/05/14","GIGGY","TWO","ZOB","2019/10/10","Y","AXXIS.GIGGY2","CYQG DET ONZ TTF"
"2026/05/14","OKLND","ONE","ZOB","2018/05/24","Y","AXXIS.OKLND1","ARB OZW PTK VLL YIP"
"2026/05/14","BAGGY","THREE","ZJX","2022/01/27","Y","BAGGY.BAGGY3","CHS JZI"
"2026/05/14","BAINY","FOUR","ZMP","2026/03/19","Y","BAINY.BAINY4","MSP"
"2026/05/14","INOYI","ONE","ZHN","2020/01/30","Y","BAMBO.INOYI1","HNL"
"2026/05/14","BANGZ","TWO","ZMA","2025/04/17","Y","BANGZ.BANGZ2","CLW PIE SPG SRQ VNC"
"2026/05/14","BANKR","SIX","ZTL","2026/05/14","Y","BANKR.BANKR6","CLT"
"2026/05/14","BARET","FIVE","ZLA","2015/01/08","N","BARET.BARET5","NZY SAN"
"2026/05/14","BASET","FIVE","ZLA","2017/12/07","N","BASET.BASET5","LAX"
"2026/05/14","VADDR","ONE","ZNY","2025/11/27","Y","BASYE.VADDR1","LGA"
"2026/05/14","BAUBB","THREE","ZLA","2024/12/26","Y","BAUBB.BAUBB3","LGB"
"2026/05/14","SUNSS","EIGHT","ZAB","2017/04/27","N","BAYBI.SUNSS8","CHD DVT FFZ GEU GYR IWA P19 SDL"
"2026/05/14","BAYST","ONE","ZLA","2018/05/24","Y","BAYST.BAYST1","LAX"
"2026/05/14","BAYYY","FIVE","ZHU","2023/04/20","Y","BAYYY.BAYYY5","HOU"
"2026/05/14","PUCKS","FOUR","ZHU","2021/09/09","Y","BAYYY.PUCKS4","HOU"
"2026/05/14","SOULL","ONE","ZHU","2015/01/08","Y","BAYYY.SOULL1","IAH"
"2026/05/14","BAZBL","ONE","ZHU","2024/10/31","Y","BAZBL.BAZBL1","6R3 CXO DWH IAH T78"
"2026/05/14","BEAHR","THREE","ZAB","2014/04/03","Y","BEAHR.BEAHR3","ELP"
"2026/05/14","BEANO","THREE","ZSU","2010/11/11","Y","BEANO.BEANO3","SJU"
"2026/05/14","BEARR","FIVE","ZLC","2017/10/12","N","BEARR.BEARR5","SLC"
"2026/05/14","SKEES","SIX","ZLC","2025/02/20","Y","BEARR.SKEES6","SLC"
"2026/05/14","BELLR","SIX","ZHU","2024/10/31","Y","BELLR.BELLR6","HOU"
"2026/05/14","TSHRT","TWO","ZHU","2022/11/03","N","BELLR.TSHRT2","54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME"
"2026/05/14","BENKY","SIX","ZAU","2020/11/05","Y","BENKY.BENKY6","ORD"
"2026/05/14","BEREE","THREE","ZFW","2024/07/11","Y","BEREE.BEREE3","DFW"
"2026/05/14","WHINY","FOUR","ZFW","2016/05/26","Y","BEREE.WHINY4","DFW"
"2026/05/14","BEWTE","FOUR","ZLC","2022/07/14","Y","BEWTE.BEWTE4","BOI"
"2026/05/14","BGHRN","THREE","ZLC","2018/09/13","Y","BGHRN.BGHRN3","BIL"
"2026/05/14","BGMAN","ONE","ZLC","2024/07/11","Y","BGMAN.BGMAN1","BZN"
"2026/05/14","BHHIA","THREE","ZMA","2022/11/03","Y","BHHIA.BHHIA3","FLL FXE OPF PMP"
"2026/05/14","SUBKY","ONE","ZLC","2024/07/11","Y","BIL.SUBKY1","BZN"
"2026/05/14","DEALE","THREE","ZDC","2018/03/29","Y","BILIT.DEALE3","DCA"
"2026/05/14","BITHO","SEVEN","ZJX","2014/05/29","N","BITHO.BITHO7","COF COI ISM MCO MLB TIX TTS XMR"
"2026/05/14","BLEWE","FIVE","ZHU","2023/02/23","N","BLEWE.BLEWE5","3R9 AUS EDC HYI RYW T74"
"2026/05/14","BLFRG","THREE","ZMA","2025/02/20","Y","BLFRG.BLFRG3","CLW MCF PIE SPG TPA"
"2026/05/14","BLYTHE","FIVE","ZAB","2017/04/27","N","BLH.BLH5","CHD DVT FFZ IWA P19 PHX SDL"
"2026/05/14","BLOCC","TWO","ZTL","2018/05/24","N","BLOCC.BLOCC2","GSO INT"
"2026/05/14","BLOGS","THREE","ZDC","2021/02/25","Y","BLOGS.BLOGS3","RDU"
"2026/05/14","SNDAY","ONE","ZHU","2024/10/31","Y","BLUBL.SNDAY1","54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME"
"2026/05/14","BLUEM","FIVE","ZMP","2026/03/19","Y","BLUEM.BLUEM5","MSP"
"2026/05/14","BLUZZ","FIVE","ZME","2024/10/31","Y","BLUZZ.BLUZZ5","MEM"
"2026/05/14","BMBER","ONE","ZOA","2019/12/05","Y","BMBER.BMBER1","CCR SUU"
"2026/05/14","BNFSH","THREE","ZMA","2025/05/15","Y","BNFSH.BNFSH3","07FA HST MIA TMB X51"
"2026/05/14","CAVLR","SIX","ZDC","2024/07/11","Y","BNTLY.CAVLR6","IAD"
"2026/05/14","BOEGY","TWO","ZLA","2022/01/27","Y","BOEGY.BOEGY2","HND"
"2026/05/14","WYLND","ONE","ZLA","2021/02/25","Y","BOEGY.WYLND1","VGT"
"2026/05/14","BOGET","TWO","ZLA","2018/07/19","Y","BOGET.BOGET2","LAX SMO"
"2026/05/14","BOKRT","THREE","ZTL","2020/07/16","Y","BOKRT.BOKRT3","CNI FTY GVL LZU MGE PDK PUJ RYY VPC"
"2026/05/14","BONZZ","TWO","ZOB","2019/10/10","Y","BONZZ.BONZZ2","DTW"
"2026/05/14","KLYNK","THREE","ZOB","2019/10/10","Y","BONZZ.KLYNK3","DTW"
"2026/05/14","BOOKE","EIGHT","ZHN","2014/02/06","N","BOOKE.BOOKE8","HNL"
"2026/05/14","BOOSH","THREE","ZKC","2020/07/16","Y","BOOSH.BOOSH3","STL"
